pool_size,rep,tasks,makespan_ms,throughput_per_sec,mean_latency_ms,p95_latency_ms,avg_exec_ms
1,1,40,7249,5.518,3672.9,6916,180.2
1,2,40,7042,5.680,3664.2,6661,175.0
1,3,40,7015,5.702,3605.5,6667,174.4
2,1,40,6226,6.425,3345.1,5912,309.2
2,2,40,6765,5.913,3616.6,6456,336.3
2,3,40,6025,6.639,3175.0,5704,299.2
4,1,40,4979,8.034,2848.6,4919,488.1
4,2,40,4867,8.219,2527.1,4746,476.3
4,3,40,4724,8.467,2613.3,4593,462.2
8,1,40,4863,8.225,2863.5,4772,931.7
8,2,40,4790,8.351,2863.0,4729,903.4
8,3,40,4678,8.551,2838.6,4643,897.5
