algorithm,scenario,run,new_leader,messages,failover_ms,election_ms
bully,all_detect,1,4,25,1294,16
bully,all_detect,2,4,20,1535,7
bully,all_detect,3,4,25,1024,4
bully,all_detect,4,4,25,1041,6
bully,all_detect,5,4,25,1025,4
ring,all_detect,1,4,27,1024,3
ring,all_detect,2,4,27,1022,2
ring,all_detect,3,4,36,1027,2
ring,all_detect,4,4,36,1028,3
ring,all_detect,5,4,27,1529,2
bully,lowest_detects,1,4,20,11,4
bully,lowest_detects,2,4,20,11,4
bully,lowest_detects,3,4,20,7,3
bully,lowest_detects,4,4,20,6,3
bully,lowest_detects,5,4,20,6,2
ring,lowest_detects,1,4,9,5,2
ring,lowest_detects,2,4,9,6,2
ring,lowest_detects,3,4,9,6,2
ring,lowest_detects,4,4,9,5,2
ring,lowest_detects,5,4,9,6,2
