task_id,task_type,priority,offset_ms,submit_ms,start_ms,end_ms,latency_ms,status,worker,exec_ms
mixed-42-00000,FILE_IO_TASK,9,828,1180,1228,1373,193,COMPLETED,worker-1,75
mixed-42-00001,SLEEP_TASK,7,1406,1416,1491,1878,462,COMPLETED,worker-1,350
mixed-42-00002,SLEEP_TASK,2,6711,6717,6771,7020,303,COMPLETED,worker-1,166
mixed-42-00003,HASH_TASK,8,9589,9620,9648,9767,147,COMPLETED,worker-1,102
mixed-42-00004,HASH_TASK,8,9792,9811,9879,9879,68,COMPLETED,worker-1,22
mixed-42-00005,FILE_IO_TASK,9,11001,11033,11089,11089,56,COMPLETED,worker-1,33
mixed-42-00006,SLEEP_TASK,3,11105,11140,11204,11830,690,COMPLETED,worker-1,586
mixed-42-00007,COMPRESS_TASK,4,11989,12024,12052,12173,149,COMPLETED,worker-1,115
mixed-42-00008,GRAPH_TASK,3,13961,13979,14020,14148,169,COMPLETED,worker-1,109
mixed-42-00009,HTTP_TASK,4,16365,16370,16438,16681,311,COMPLETED,worker-1,267
mixed-42-00010,SLEEP_TASK,1,17145,17152,17225,17584,432,COMPLETED,worker-1,412
mixed-42-00011,GRAPH_TASK,8,17835,17864,17910,17910,46,COMPLETED,worker-1,27
mixed-42-00012,MONTE_CARLO_TASK,9,18150,18163,18239,18239,76,COMPLETED,worker-1,69
mixed-42-00013,HASH_TASK,3,21029,21037,21060,21168,131,COMPLETED,worker-1,26
mixed-42-00014,COMPRESS_TASK,10,21102,21109,21171,21385,276,COMPLETED,worker-1,196
mixed-42-00015,CPU_TASK,1,21182,21187,21280,21280,93,COMPLETED,worker-1,18
mixed-42-00016,HASH_TASK,2,21842,21863,21920,22043,180,COMPLETED,worker-1,63
mixed-42-00017,COMPRESS_TASK,2,22179,22196,22269,22604,408,COMPLETED,worker-1,287
mixed-42-00018,HTTP_TASK,10,24687,24698,24794,24910,212,COMPLETED,worker-1,141
mixed-42-00019,FILE_IO_TASK,3,25316,25339,25356,25479,140,COMPLETED,worker-1,22
mixed-42-00020,MONTE_CARLO_TASK,9,26079,26095,26144,26370,275,COMPLETED,worker-1,161
mixed-42-00021,SORT_TASK,5,26748,26768,26813,26931,163,COMPLETED,worker-1,55
mixed-42-00022,CPU_TASK,2,26959,26973,27052,27052,79,COMPLETED,worker-1,7
mixed-42-00023,COMPRESS_TASK,9,27198,27225,27277,27385,160,COMPLETED,worker-1,75
mixed-42-00024,MATRIX_TASK,8,27886,27907,27937,28053,146,COMPLETED,worker-1,65
mixed-42-00025,GRAPH_TASK,2,27936,27952,28074,28074,122,COMPLETED,worker-1,49
mixed-42-00026,GRAPH_TASK,6,28470,28493,28516,28632,139,COMPLETED,worker-1,68
mixed-42-00027,COMPRESS_TASK,10,31158,31171,31238,31352,181,COMPLETED,worker-1,74
mixed-42-00028,GRAPH_TASK,9,33408,33414,33520,33520,106,COMPLETED,worker-1,6
mixed-42-00029,FILE_IO_TASK,1,33630,33635,33641,33754,119,COMPLETED,worker-1,50
mixed-42-00030,GRAPH_TASK,8,36005,36017,36048,36048,31,COMPLETED,worker-1,21
mixed-42-00031,SLEEP_TASK,3,36159,36181,36261,36994,813,COMPLETED,worker-1,730
mixed-42-00032,HASH_TASK,6,36216,36233,36268,36390,157,COMPLETED,worker-1,34
mixed-42-00033,SORT_TASK,8,36421,36437,36498,36722,285,COMPLETED,worker-1,263
mixed-42-00034,MATRIX_TASK,4,36614,36623,36727,36727,104,COMPLETED,worker-1,1
mixed-42-00035,GRAPH_TASK,10,36668,36677,36732,36870,193,COMPLETED,worker-1,79
mixed-42-00036,CPU_TASK,3,36706,36712,36735,36735,23,COMPLETED,worker-1,8
mixed-42-00037,SORT_TASK,7,36925,36947,37005,37005,58,COMPLETED,worker-1,15
mixed-42-00038,HTTP_TASK,10,37127,37148,37232,37501,353,COMPLETED,worker-1,282
mixed-42-00039,COMPRESS_TASK,3,37172,37184,37235,37363,179,COMPLETED,worker-1,105
mixed-42-00040,SLEEP_TASK,7,37274,37280,37376,37376,96,COMPLETED,worker-1,69
mixed-42-00041,CPU_TASK,9,37276,37286,37381,37381,95,COMPLETED,worker-1,6
mixed-42-00042,SORT_TASK,9,37556,37572,37618,37726,154,COMPLETED,worker-1,115
mixed-42-00043,MONTE_CARLO_TASK,5,37838,37863,37943,37943,80,COMPLETED,worker-1,33
mixed-42-00044,SLEEP_TASK,9,37921,37931,37946,38302,371,COMPLETED,worker-1,273
mixed-42-00045,GRAPH_TASK,5,38171,38189,38305,38305,116,COMPLETED,worker-1,58
mixed-42-00046,MATRIX_TASK,9,38223,38230,38307,38307,77,COMPLETED,worker-1,20
mixed-42-00047,SORT_TASK,10,38242,38249,38310,38310,61,COMPLETED,worker-1,43
mixed-42-00048,COMPRESS_TASK,8,38290,38297,38313,38434,137,COMPLETED,worker-1,88
mixed-42-00049,HTTP_TASK,6,38358,38363,38439,38704,341,COMPLETED,worker-1,299
mixed-42-00050,FILE_IO_TASK,5,38410,38421,38442,38590,169,COMPLETED,worker-1,42
mixed-42-00051,FILE_IO_TASK,2,38465,38470,38594,38594,124,COMPLETED,worker-1,9
mixed-42-00052,COMPRESS_TASK,5,38533,38544,38716,38716,172,COMPLETED,worker-1,75
mixed-42-00053,FILE_IO_TASK,6,38553,38581,38724,38724,143,COMPLETED,worker-1,64
mixed-42-00054,MATRIX_TASK,5,38825,38846,38869,38981,135,COMPLETED,worker-1,15
mixed-42-00055,MATRIX_TASK,1,38954,38969,38987,39115,146,COMPLETED,worker-1,36
mixed-42-00056,HASH_TASK,6,39156,39174,39229,39333,159,COMPLETED,worker-1,55
mixed-42-00057,CPU_TASK,9,39241,39246,39338,39338,92,COMPLETED,worker-1,5
mixed-42-00058,MATRIX_TASK,8,39369,39386,39447,39447,61,COMPLETED,worker-1,20
mixed-42-00059,SORT_TASK,8,39522,39529,39563,39683,154,COMPLETED,worker-1,53
mixed-42-00060,CPU_TASK,7,39542,39567,39687,39687,120,COMPLETED,worker-1,8
