pool_size,rep,makespan_ms,throughput_tps,mean_latency_ms,mean_latency_sleep_ms,mean_latency_cpu_ms,speedup
1,1,8975.0,3.57,5337.3,4865.7,5809.0,0.95
1,2,8318.0,3.85,4472.2,4422.8,4521.7,1.02
1,3,8244.0,3.88,4231.4,4395.3,4067.6,1.03
2,1,4155.0,7.70,2135.7,2344.8,1926.6,2.05
2,2,4129.0,7.75,2114.2,2319.2,1909.3,2.06
2,3,4134.0,7.74,2209.7,2338.6,2080.8,2.06
4,1,2092.0,15.30,1150.4,1314.3,986.6,4.07
4,2,2081.0,15.38,1078.3,1318.8,837.9,4.09
4,3,2093.0,15.29,1119.0,1312.6,925.5,4.07
8,1,1074.0,29.80,590.8,798.6,382.9,7.93
8,2,1075.0,29.77,590.6,799.4,381.9,7.92
8,3,1076.0,29.74,559.3,797.6,320.9,7.91
